row,col,c,A,row_fit,col_fit,sigma_x,sigma_y
10.223,11.102,12445.05067,31230.77891,10.75545335,11.52550667,0.937619425,0.881737314
21.978,16.762,11275.82982,28719.20918,22.48601551,16.96058834,0.935089684,0.914988953
28.799,7.1837,11472.81735,26261.41341,29.34557477,8.142195857,0.92748808,0.893973037
40.7,11.392,9911.275409,25733.51364,41.37603389,11.86368274,0.94890628,0.909451877
49.842,52.608,8937.938318,23473.69791,50.27138685,52.80185458,0.943383422,0.905266791
30.626,83.85,13085.60103,36728.25172,30.91598627,83.86648116,0.961322678,0.936129322
46.249,79.429,10230.3337,26410.36228,46.31629194,79.63333246,0.933229289,0.884359507
57.599,115.98,11312.66153,31639.10705,57.50187511,115.9610048,1.019212351,0.940462758
64.821,92.989,11551.20005,34364.932,65.11720884,93.2132039,0.963039062,0.944771756
46.692,138.09,8731.686167,16225.85975,46.70556986,137.8883374,0.918021204,0.87855938
58.041,156.81,10471.4218,31368.2208,57.55368684,156.3813719,0.989249397,1.002359506
47.576,171.55,9122.308829,22505.14701,47.81814541,171.5883846,0.894764609,0.868348559
6.1587,179.07,11620.77407,28279.09264,5.895135998,179.2556622,0.96077921,0.973586141
0.8526,139.12,9537.236446,25005.74213,-2.028140964,138.9664664,1.050929734,0.981273172
19.277,209.43,12357.12516,40192.58863,19.43777444,209.6191435,0.980653513,0.899478227
24.878,221.81,12859.00577,23286.23953,24.71514215,221.6462706,0.858893699,0.844665279
23.993,226.08,9872.098828,23944.79763,24.15074228,225.8556111,1.005708147,1.007872805
30.184,234.63,9045.908151,20475.3509,30.4347507,234.2019516,0.943697596,0.931065156
18.687,245.1,8504.836415,20869.69655,19.03276925,244.9361143,0.943666895,0.935708836
8.517,240.68,9679.932412,23842.57661,8.234446627,240.4627351,0.97293764,0.949805368
58.63,210.31,8844.504578,20739.63071,58.93467299,209.8116231,1.06321792,1.036234364
8.64,262.75,11724.11169,36384.65286,9.13647242,262.6692041,0.962492635,0.955643526
1.3067,281.82,8712.839956,26896.13866,-0.998026911,281.426636,1.025180915,1.051491472
46.92,296.05,9137.468092,23065.45562,46.80202808,295.7538795,0.987677442,0.97369631
53.52,283.87,9444.330845,22636.07944,53.77822858,283.7993555,0.966475712,0.965655718
125.37,36.39,10379.65971,31901.07392,125.1256642,36.09262667,0.971933616,0.945507353
82.476,72.206,10334.7654,27395.56192,82.59588186,71.89420311,0.96631528,0.951547753
126.25,69.111,13510.19148,46741.19474,126.5867315,69.03318998,0.978124055,0.953449343
96.331,94.757,7827.181578,32823.27467,97.89018136,98.84629658,1.460796469,2.083425896
98.395,98.737,14725.85583,44515.91308,97.98622061,98.91950772,1.018657066,1.029855717
102.52,114.66,13833.2692,36741.94003,102.4425607,114.6207383,0.952045062,0.895664251
102.52,122.61,12780.74353,35792.00231,102.4386777,123.0356418,0.958884548,0.950015512
114.76,110.68,12555.33476,38060.35039,114.435152,110.8726776,1.021843581,0.982075036
125.51,127.48,10554.74107,29065.91639,125.862889,127.3783677,0.970828722,0.934362612
113.13,144.72,11390.67362,34128.55908,113.2335984,144.4842789,0.974443504,0.926380618
114.9,153.12,9372.193645,22139.13773,114.8309749,152.7368268,0.979354949,0.954359335
115.64,164.77,8967.446409,17762.15407,115.7374845,164.7912716,0.966198937,0.922925978
130.82,165.06,10653.15022,34050.97233,131.2347103,164.4767268,1.020127461,0.977432203
128.46,151.06,11634.6282,28940.53895,128.3111818,151.115743,0.967389058,0.949925826
82.624,196.46,11361.08812,43421.15676,82.23242654,196.0999035,1.012231406,0.964607673
93.088,209.72,9152.88713,30714.00443,92.7315081,209.4839682,1.25240278,1.189745997
90.435,222.69,10632.01251,29974.16384,90.24438911,222.5702132,0.983420725,0.971870508
